mat_path,mat_ts,camera_path,camera_ts
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:15.886000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:15.901243
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:16.047000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:16.035378
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:16.178000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:16.189904
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:16.306000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:16.321527
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:16.435000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:16.449273
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:16.630000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:16.617948
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:16.726000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:16.736263
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:16.887000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:16.883472
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:17.049000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:17.040835
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:17.145000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:17.155421
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:17.340000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:17.336882
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:17.470000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:17.457719
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:17.567000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:17.578215
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:17.729000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:17.728899
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:17.890000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:17.906449
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:18.020000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:18.015251
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:18.149000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:18.136849
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:18.312000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:18.300534
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:18.442000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:18.456712
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:18.571000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:18.575660
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:18.733000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:18.732529
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:18.863000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:18.847548
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:18.992000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:19.001560
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:19.154000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:19.148535
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:19.284000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:19.275062
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:19.413000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:19.417284
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:19.576000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:19.583998
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:19.705000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:19.700795
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:19.834000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:19.824888
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:19.995000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:19.995684
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:20.124000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:20.115040
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:20.253000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:20.250065
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:20.415000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:20.412313
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:20.577000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:20.565669
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:20.673000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:20.687009
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:20.900000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:20.885011
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:20.965000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:20.956724
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:21.127000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:21.111132
../2025-07-03/pm_adl/s/1dasss.csv,2024-06-11T09:53:21.191000+01:00,../2025-07-03/ir_adl/s/1dasss,2024-06-11T09:53:21.538283
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:45.916000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:45.842784
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:45.982000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:45.997937
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:46.143000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:46.128477
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:46.305000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:46.290245
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:46.403000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:46.409338
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:46.597000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:46.593832
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:46.726000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:46.730703
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:46.823000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:46.831767
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:46.985000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:46.987737
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:47.147000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:47.160139
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:47.277000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:47.278486
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:47.406000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:47.412816
