"2024-06-11T11:33:00","2024-06-11T11:33:01","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/48","48"
"2024-06-11T11:35:06","2024-06-11T11:35:08","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/49","49"
"2024-06-11T11:36:13","2024-06-11T11:36:21","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/50","50"
"2024-06-11T11:37:23","2024-06-11T11:37:30","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/51","51"
"2024-06-11T11:39:40","2024-06-11T11:39:37","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/52","52"
"2024-06-11T11:40:50","2024-06-11T11:40:54","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/53","53"
"2024-06-11T11:42:18","2024-06-11T11:42:22","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/54","54"
"2024-06-11T11:43:35","2024-06-11T11:43:41","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/55","55"
"2024-06-11T11:45:32","2024-06-11T11:45:23","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/56","56"
"2024-06-11T11:46:48","2024-06-11T11:46:48","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/57","57"
"2024-06-11T11:47:50","2024-06-11T11:47:51","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/58","58"
"2024-06-11T11:49:52","2024-06-11T11:49:50","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/60","60"
"2024-06-11T11:50:45","2024-06-11T11:50:45","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/61","61"
"2024-06-11T11:51:54","2024-06-11T11:51:50","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/62","62"
"2024-06-11T11:54:33","2024-06-11T11:54:34","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/63","63"
"2024-06-12T10:37:23","2024-06-12T10:37:19","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/64","64"
"2024-06-12T10:39:21","2024-06-12T10:39:38","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/65","65"
"2024-06-12T10:43:14","2024-06-12T10:43:15","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/66","66"
"2024-06-12T10:44:38","2024-06-12T10:44:39","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/67","67"
"2024-06-12T10:45:40","2024-06-12T10:45:42","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/68","68"
"2024-06-12T10:48:38","2024-06-12T10:48:44","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/82","82"
"2024-06-12T10:50:32","2024-06-12T10:50:42","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/83","83"
