,path,s,n,a
6405,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3744.0,56,66.85714285714286
6406,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3733.0,56,66.66071428571429
6407,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3760.0,57,65.96491228070175
6408,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3724.0,55,67.7090909090909
6409,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3732.0,55,67.85454545454546
6410,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3741.0,57,65.63157894736842
6411,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3733.0,56,66.66071428571429
6412,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3739.0,56,66.76785714285714
6413,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3749.0,58,64.63793103448276
6414,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3743.0,56,66.83928571428571
6415,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3720.0,56,66.42857142857143
6416,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3754.0,58,64.72413793103448
6417,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3712.0,55,67.49090909090908
6418,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3741.0,56,66.80357142857143
6419,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3709.0,54,68.68518518518519
6420,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3732.0,56,66.64285714285714
6421,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3722.0,56,66.46428571428571
6422,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3737.0,57,65.56140350877193
6423,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3707.0,55,67.4
6424,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3723.0,56,66.48214285714286
6425,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3755.0,58,64.74137931034483
6426,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3713.0,55,67.50909090909092
6427,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3737.0,56,66.73214285714286
6428,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3735.0,57,65.52631578947368
6429,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3745.0,58,64.56896551724138
6430,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3744.0,57,65.6842105263158
6431,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3740.0,57,65.6140350877193
6432,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3724.0,56,66.5
6433,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3715.0,56,66.33928571428571
6434,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3732.0,57,65.47368421052632
6435,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3715.0,55,67.54545454545455
6436,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3734.0,57,65.50877192982456
6437,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3718.0,56,66.39285714285714
6438,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3731.0,57,65.45614035087719
6439,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3743.0,57,65.66666666666667
6440,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3715.0,56,66.33928571428571
6441,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3721.0,55,67.65454545454546
6442,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3738.0,57,65.57894736842105
6443,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3716.0,56,66.35714285714286
6444,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3722.0,57,65.29824561403508
6445,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3686.0,55,67.01818181818182
6446,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3720.0,57,65.26315789473684
6447,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3691.0,55,67.10909090909091
6448,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3695.0,56,65.98214285714286
6449,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3695.0,56,65.98214285714286
6450,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3702.0,56,66.10714285714286
6451,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3677.0,55,66.85454545454546
6452,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3705.0,56,66.16071428571429
6453,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3693.0,56,65.94642857142857
6454,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3705.0,57,65.0
6455,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3691.0,55,67.10909090909091
6456,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3722.0,58,64.17241379310344
6457,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3694.0,56,65.96428571428571
6458,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3711.0,57,65.10526315789474
6459,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3715.0,57,65.17543859649123
6460,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3700.0,56,66.07142857142857
6461,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3705.0,57,65.0
6462,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3714.0,57,65.15789473684211
6463,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3701.0,56,66.08928571428571
6464,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3696.0,56,66.0
6465,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3694.0,57,64.80701754385964
6466,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3699.0,56,66.05357142857143
6467,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3699.0,57,64.89473684210526
6468,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3674.0,56,65.60714285714286
6469,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3692.0,56,65.92857142857143
6470,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3694.0,57,64.80701754385964
6471,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3704.0,57,64.98245614035088
6472,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3704.0,57,64.98245614035088
6473,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3703.0,57,64.96491228070175
6474,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3681.0,57,64.57894736842105
6475,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3678.0,57,64.52631578947368
6476,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3691.0,57,64.75438596491227
6477,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3672.0,56,65.57142857142857
6478,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3664.0,56,65.42857142857143
6479,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3682.0,57,64.59649122807018
6480,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3664.0,56,65.42857142857143
6481,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3669.0,56,65.51785714285714
6482,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3654.0,55,66.43636363636364
6483,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3651.0,55,66.38181818181818
6484,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3649.0,55,66.34545454545454
6485,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3651.0,56,65.19642857142857
6486,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3650.0,56,65.17857142857143
6487,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3653.0,56,65.23214285714286
6488,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3655.0,56,65.26785714285714
6489,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3661.0,56,65.375
6490,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3645.0,56,65.08928571428571
6491,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3644.0,55,66.25454545454545
6492,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3659.0,56,65.33928571428571
6493,data/mat_data/Blaine\Falls PM\BLFPM29\b29.csv,3649.0,56,65.16071428571429
6920,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4810.0,70,68.71428571428571
6921,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4810.0,70,68.71428571428571
6922,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4812.0,69,69.73913043478261
6923,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4811.0,69,69.72463768115942
6924,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4786.0,68,70.38235294117646
6925,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4825.0,70,68.92857142857143
6926,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4814.0,69,69.76811594202898
6927,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4811.0,68,70.75
